Date,Open,High,Low,Close,Adj Close,Volume
01-05-2020,5358.799805,5666.75,4637.5,5610.799805,5489.408203,42615817
01-06-2020,5690,6007.200195,5201,5838.299805,5711.986328,35977197
01-07-2020,5838.299805,6393.649902,5750,6262.75,6127.253418,30098735
01-08-2020,6380,7175.700195,6125.049805,6839.950195,6691.965332,26098768
01-09-2020,6860.450195,7349.899902,6270.149902,6743.450195,6656.898438,27329393
01-10-2020,6838.200195,7332,6745,6965.149902,6875.75293,21301748
01-11-2020,7044.899902,7252.350098,6753.100098,7035.799805,6945.496094,23942197
01-12-2020,7141.799805,8013.149902,6975.200195,7649.600098,7551.418457,25416438
01-01-2021,7654,8329,7170,7206.649902,7114.153809,23494599
01-02-2021,7265.200195,7799,6822.200195,6866.149902,6778.023926,24953738
01-03-2021,6977,7387,6740,6859.200195,6771.163086,19429934
01-04-2021,6950,6991.5,6415,6455.649902,6372.79248,16710214
01-05-2021,6430,7100,6400,7086.299805,6995.348145,12662479
01-06-2021,7107.549805,7698,6821,7515.899902,7419.434082,14788544
01-07-2021,7500,7690,6936,6977.700195,6888.14209,10634585
01-08-2021,7100,7248.600098,6591,6846.100098,6758.230957,13086935
01-09-2021,6799.950195,7521.549805,6702.350098,7338.049805,7290.052246,18752908
01-10-2021,7220,7814.799805,7090,7482.399902,7433.458496,14699235
01-11-2021,7401,8368,6990.700195,7067.799805,7021.570313,18121227
01-12-2021,7191,7640,7021,7426.450195,7377.874512,13516331
01-01-2022,7420,8971.650391,7420,8597.299805,8541.06543,17430257
01-02-2022,8693,9050,8114.100098,8314.150391,8259.768555,14795251
01-03-2022,8314.150391,8314.150391,6536.549805,7561.299805,7511.842285,25947939
01-04-2022,7574,8067.5,7350,7717.799805,7667.318359,11805484
01-05-2022,7665,8100,7062.350098,7966.350098,7914.243164,14284627
01-06-2022,7975.049805,8634.599609,7555,8470.75,8415.34375,18396865
01-07-2022,8440,8943,8305.599609,8773.549805,8716.163086,12678501
01-08-2022,8850,9196.849609,8564,9082.25,9022.84375,12491317
01-09-2022,8949.950195,9451,8558.200195,8828.150391,8828.150391,14302707
01-10-2022,8970,9769,8510,9527.599609,9527.599609,11529418
01-11-2022,9635,9636.900391,8786,8974.150391,8974.150391,11321190
01-12-2022,9019.049805,9025,8076.049805,8394.599609,8394.599609,11972055
01-01-2023,8365,8943.849609,8249.150391,8895.299805,8895.299805,11518729
01-02-2023,8937,9030.450195,8530,8624.349609,8624.349609,6631899
01-03-2023,8620,8776.25,8130,8292.150391,8292.150391,8565901
,,,,,,
